country,province,city,id,year,urban_anpp,agriculture_anpp,overall_anpp
China,Guangdong Sheng,Zhanjiang,13035,2001,444.37553857014194,591.6304018648004,604.3536337555352
China,Guangxi Zhuangzu Zizhiqu,Beihai,13053,2001,440.97350187265937,575.8789410893412,602.024159624291
China,Guangxi Zhuangzu Zizhiqu,Fangchenggang,13054,2001,415.3626476072094,679.0885895612287,1066.7637254154565
China,Guangxi Zhuangzu Zizhiqu,Chongzuo,13058,2001,402.73191489361704,646.4153938824397,880.1369664033634
China,Hainan Sheng,Hainan,13072,2001,504.63665922987946,702.6419697972898,905.4067374132602
China,Hainan Sheng,Haikou,13073,2001,465.4365604329525,605.996752136752,673.8467008869357
China,Hainan Sheng,Sanya,13074,2001,630.1173886186397,779.9077717879609,960.3396756024022
China,Yunnan Sheng,Pu'er,13310,2001,572.4380952380953,860.0874570707333,1245.3788945595554
China,Yunnan Sheng,Xishuangbanna Dai,13311,2001,0,900.6826013754172,1568.4906314922368
China,Anhui Sheng,Hefei,12984,2001,333.3638773958527,385.62619529561766,383.18788246216866
China,Anhui Sheng,Wuhu,12985,2001,338.04367678051193,485.25993052205854,475.69804267995096
China,Anhui Sheng,Bengbu,12986,2001,304.39248872346786,361.8290862178251,359.2228464937129
China,Anhui Sheng,Huainan,12987,2001,255.11513537206255,339.6737200977842,332.85933424858626
China,Anhui Sheng,Ma'anshan,12988,2001,318.10647655029044,434.833737743403,413.7382946303915
China,Anhui Sheng,Huaibei,12989,2001,258.21328515905486,365.73639079049804,360.86311387568185
China,Anhui Sheng,Tongling,12990,2001,313.3364279540288,474.2941001459127,461.8112871995751
China,Anhui Sheng,Anqing,12991,2001,412.1652881862317,514.5200655232121,519.9531419683891
China,Anhui Sheng,Huangshan,12992,2001,476.091875,637.8607280521243,712.0218389540103
China,Anhui Sheng,Chuzhou,12993,2001,338.804430435766,394.35804117031375,395.0065755773636
China,Anhui Sheng,Suzhou,12995,2001,303.1304640718563,373.25410384746914,372.0478966979441
China,Anhui Sheng,Lu'an,12996,2001,298.79555668103706,329.28700605313674,382.7364441885885
China,Anhui Sheng,Xuancheng,12997,2001,423.43556701030934,523.3189740137443,600.766603383439
China,Anhui Sheng,Chaohu,12998,2001,312.7839318871005,429.6373226860753,424.53526751628647
China,Anhui Sheng,Chizhou,12999,2001,362.2566119938493,547.112004042868,588.1936914596632
China,Fujian Sheng,Fuzhou,13005,2001,541.3064259626238,671.0447196599799,921.2922168431606
China,Fujian Sheng,Xiamen,13006,2001,598.0560338394155,860.0872542825228,1025.2624012775207
China,Fujian Sheng,Putian,13007,2001,619.8952522900615,778.122666473787,1051.6403736069672
China,Fujian Sheng,Sanming,13008,2001,441.0616666666666,698.9896220155964,790.7362363128457
China,Fujian Sheng,Quanzhou,13009,2001,568.766077552889,826.4989051508926,979.1172889156179
China,Fujian Sheng,Zhangzhou,13010,2001,572.1262584621323,881.2006827177786,1072.456439295805
China,Fujian Sheng,Nanping,13011,2001,384.1483870967742,696.121512774697,755.5347834472609
China,Fujian Sheng,Longyan,13012,2001,538.4707692307693,743.2191685980257,1038.0657509329296
China,Fujian Sheng,Ningde,13013,2001,537.8832117716904,771.2840216866347,897.3334915664448
China,Gansu Sheng,Lanzhou,13014,2001,188.99783446632563,161.66197984844422,162.34171136417035
China,Gansu Sheng,Jiayuguan,13015,2001,0,150.8884278044822,142.6908974786183
China,Gansu Sheng,Jinchang,13016,2001,80.85813953488375,141.13508395204116,127.8024749719108
