city,year,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,10+12+14
Zhanjiang,2001,13035,,0.695047891,,,,,0.928288656,,6606.291934,669.2697891,153.0911164,2420.942948,291.5260229,1700.804841,,20.81209353,449.5154181,4791.017578
Beihai,2001,13053,0.231534734,2.126276309,,,,,,0.560378564,894.023128,323.5212021,61.35710985,1569.427542,115.7315581,131.8270801,,7.63401278,63.30590042,2024.775824
Fangchenggang,2001,13054,,1513.146006,,,5.844482358,,,1225.200501,2420.066881,21.97450657,61.05629831,405.3906041,33.24841703,97.39263452,,0.916457988,32.70353802,524.7577452
Chongzuo,2001,13058,0.456659641,2730.424903,,0.458936828,79.51782937,,,6235.697847,13395.17096,735.7536499,51.06216214,5355.511145,300.1480671,1167.698852,,0.688674594,89.35033491,7258.963648
Hainan,2001,13072,,5873.004485,,10.80992013,0.469033234,,4.226236,6512.569309,13089.89807,2594.21514,152.1188246,2214.204724,218.9455972,1565.323999,,12.6327705,264.2389133,6373.743863
Haikou,2001,13073,,3.741284859,,,,,,,265.8155195,1.296061812,0.055915287,25.4527302,96.27442726,19.2516601,,1.889177645,6.089028663,46.00045211
Sanya,2001,13074,0.2111385,272.4597649,,1.375705289,0.195436423,,,177.8280302,136.6203104,163.3989527,9.893023138,56.2691666,39.18162897,0.888435487,,,10.85793995,220.5565548
Pu'er,2001,13310,547.5387102,15247.08099,,13.9407574,5597.257606,,,15996.81509,5926.749044,265.3351567,,756.3362583,97.06645551,34.8073647,,,,1056.47878
Xishuangbanna Dai,2001,13311,0.2308665,10689.01631,,18.16185695,816.328355,,,5967.678225,758.9131539,263.7547035,0.230902,590.9355199,41.7971015,22.85344761,,,,877.543671
Hefei,2001,12984,,,,1.906261359,0.636090344,,,6.810417195,148.4715363,49.98502775,33.4953028,6351.002605,462.9989516,148.0983884,,0.424609875,279.5360923,6549.086022
Wuhu,2001,12985,,,,4.274282328,76.98470907,,,399.5425004,1263.616886,10.88932745,9.991933945,656.0271969,171.4816391,653.1853757,,0.768795626,86.50300006,1320.1019
Bengbu,2001,12986,,,,,,,,,169.3084994,86.01647112,53.14566764,5154.710291,288.8911623,1.458168328,,0.418387406,182.1054916,5242.18493
Huainan,2001,12987,,,,,,,,,135.9485778,39.25502222,9.859874578,1541.38795,262.7060494,3.513593258,,,83.02455651,1584.156565
Ma'anshan,2001,12988,,,,1.505512281,12.02177511,,,0.424187391,501.2545539,40.58884199,125.4704518,433.4123609,154.2465889,309.3656031,,2.028863655,106.466487,783.3668059
Huaibei,2001,12989,,,,,,,,,41.21454412,5.789616552,1.448715891,2029.932416,202.513527,1.868509984,,,3.311133984,2037.590542
Tongling,2001,12990,,,,0.427748313,57.97343306,,,119.9626256,394.5464093,3.193603471,17.31569924,98.12217681,74.40063055,256.7619968,,2.167828604,57.84070932,358.0777771
Anqing,2001,12991,21.65400927,,,336.643902,854.2724739,,,4101.23194,3346.669053,55.71831314,251.0142605,3012.778406,194.8426575,2184.596724,,8.637745249,1245.06824,5253.093443
Huangshan,2001,12992,429.0396455,156.2845637,,233.0234693,2875.064544,,,4883.044843,314.2786092,35.89326937,18.44603415,247.2464302,67.87094894,269.3444568,,,24.12008578,552.4841563
Chuzhou,2001,12993,2.51742825,,,150.0099944,18.72530433,,,165.0237339,567.6461804,211.9982872,86.48479572,10961.61219,248.1039557,490.3883481,,1.255329078,450.2350965,11663.99883
Suzhou,2001,12995,,,,0.413370594,,,,,185.7688203,20.97903009,0.83232446,9768.284243,336.2930088,83.07103775,,,5.796260781,9872.334311
Lu'an,2001,12996,,,,566.2279628,850.6662012,,,5288.566706,799.2620773,161.5941852,100.6735244,8896.126399,160.7550877,1380.106574,,2.739250109,472.7104041,10437.82716
Xuancheng,2001,12997,33.80997736,,,204.9061358,2024.252441,,,4918.982876,1365.629371,66.47530429,65.25906769,1332.708299,86.64646444,1893.401964,,,163.7729472,3292.585567
Chaohu,2001,12998,,,,10.13084011,98.48558347,,,99.17749686,2318.440795,18.6824909,93.53906292,3752.818585,160.1562841,2032.984006,,1.87508341,799.7100338,5804.485082
Chizhou,2001,12999,12.61827689,94.09267678,,406.9924242,1681.778573,,,3612.719693,1044.170699,64.03239381,121.4643253,621.7624723,48.82596612,421.6434257,,3.351670506,233.2853021,1107.438292
Fuzhou,2001,13005,20.41927149,2070.426112,,,197.5903754,,0.225010766,4568.442059,2771.161109,215.0499352,161.5281245,305.880417,921.773249,88.18432198,,14.79236734,287.2934181,609.1146742
Xiamen,2001,13006,,219.4684489,,,,0.225988656,,134.9397734,639.8704114,38.91099251,3.976444098,30.64576215,484.4743279,95.60286431,0.216908525,2.724275616,32.73754969,165.159619
Putian,2001,13007,,949.0568865,,,12.45711853,,,758.581556,1087.104089,77.74105163,13.13113847,203.2748256,564.4937153,211.7547407,,8.618988365,60.33405952,492.770618
Sanming,2001,13008,85.46581156,8116.523952,,1.777710594,1847.57116,,,11113.46157,1004.078852,197.0744922,22.7874993,112.3413142,118.7901797,37.17977674,,,7.013067231,346.5955831
Quanzhou,2001,13009,8.576827884,1853.732985,,,67.55113804,0.451092906,0.452352469,2638.102942,3604.145096,197.2513591,22.29630811,390.4855037,1481.654459,631.7965265,,6.623225953,81.20134328,1219.533389
Zhangzhou,2001,13010,,1959.118767,,,5.097237936,,,2900.011243,4741.790039,82.12373523,45.82452256,261.9373498,681.5195359,2266.539924,,13.88600047,147.7409232,2610.601009
Nanping,2001,13011,405.1114797,7367.262349,,5.667014939,2361.879265,,,14416.88314,839.8854376,239.3217056,18.60496807,138.8577789,124.4633141,63.80378658,,,26.98424713,441.9832711
Longyan,2001,13012,20.17571142,9151.786634,,,374.422066,,,7076.945248,2243.396224,82.62170842,2.938265922,195.4371319,173.4149601,99.97175769,,,1.130869219,378.030598
Ningde,2001,13013,54.95320537,1364.564353,,0.374242657,664.9821479,,,8283.348772,1640.205681,101.1278972,217.4403153,50.07610325,114.2374004,65.81199123,0.62208262,3.317304267,164.9233672,217.0159917
Lanzhou,2001,13014,5.560033928,,,9.708586094,14.16936946,,18.60095505,0.199774016,0.606915594,12602.63355,8.213220254,303.8669438,465.3323469,,,28.59752877,,12906.5005
Jiayuguan,2001,13015,,,,,,,,,,125.0644432,,17.03152738,25.12740733,,,1522.07555,,142.0959706
Jinchang,2001,13016,,,,,,,,,,3718.281965,0.19641725,712.8478009,72.15060622,,,2962.12951,,4431.129766
Baiyin,2001,13017,,,,,,,245.6917861,,,18031.68531,1.193671938,294.9692247,194.2612898,0.404510969,,1022.171361,,18327.05905
Tianshui,2001,13018,,,,2480.079216,225.1057058,,,243.6292602,84.34838766,2093.910126,,8694.374988,89.90686881,12.32664644,,,,10800.61176
Jiuquan,2001,13019,,,,,,,,,,8576.218223,,1553.523899,214.127169,,50.89536129,135578.7086,9.114100594,10129.74212
Zhangye,2001,13020,19.93263109,,,,,,,0.197280672,52.47453899,22856.21597,119.4944189,2973.173472,134.3270263,,11.85481298,13454.19373,0.590034063,25829.38944
Wuwei,2001,13021,21.07282625,,,,32.87987649,,0.396889922,69.15863006,22.56625132,13591.44543,55.03380381,3088.676869,174.252956,,,15929.04473,1.565036047,16680.1223
Dingxi,2001,13022,,,,77.03690757,26.06244028,,,19.17379426,1.149896278,14283.97492,,5266.70023,84.96585005,,,,,19550.67515
Longnan,2001,13023,0.209661813,,,5555.282454,2758.300952,,,3310.729362,1998.358734,3786.772619,,8242.497724,47.90039855,2395.188216,,,,14424.45856
Pingliang,2001,13024,,,,329.635057,14.66682925,0.204435625,,2.851768109,142.9486617,1975.703173,,8167.252094,36.04927416,117.1679577,,,,10260.12323
Qingyang,2001,13025,,,,1373.6648,53.6374708,11.28733623,,108.3201105,34.07314859,18877.05674,,6175.654414,24.4378605,0.545789746,,,,25053.25695
Linxia Hui,2001,13026,,,,22.22981462,24.35155254,,,3.464034516,,4835.357387,1.212350188,2898.82877,109.1240357,,,31.54545627,77.0699195,7734.186157
