"Sgnyea","Ctnm_en","Ctnm_id","Cttyp_en","Prvcnm_id","Prvcnm_en.x","Gdpct01","Gdpct02","Gdpct03","Gdpct04","GDP_PerCapita","GDPYoY","GDP_PrimInd","GDP_SecInd","GDP_TerInd","Prvcnm_en.y","Pi0101","rel_cpi_2010","city_rgdp","city_rgdppc"
2000,"Tacheng Prefecture",654200,"City (Sub-provincial level)",650000,"Xinjiang Uygur Autonomous Region",83.7572,37.18,30.33,32.49,6703,9,311400,254035,272137,"Xinjiang",99.4,76.7213744160564,109.170619840292,8736.80907181087
2000,"Altay Prefeture",654300,"City (Sub-provincial level)",650000,"Xinjiang Uygur Autonomous Region",31.503,37.53,29.54,32.93,5345,7.5,118233,93065,103732,"Xinjiang",99.4,76.7213744160564,41.0615688780036,6966.767788875
2000,"Bortala Mongol Autonomous Prefecture",652700,"City (Sub-provincial level)",650000,"Xinjiang Uygur Autonomous Region",22.4333,42.54,21.85,35.62,5446,8.6,95421,49012,79900,"Xinjiang",99.4,76.7213744160564,29.2399610548493,7098.41298002118
2000,"Bayinguoleng Inner Mongolia Autonomous Prefecture",652800,"City (Sub-provincial level)",650000,"Xinjiang Uygur Autonomous Region",134.8986,17.52,62.03,20.45,12874,8.3,236362,836777,275847,"Xinjiang",99.4,76.7213744160564,175.829227548051,16780.1999090695
2000,"Aksu Prefecture",652900,"City (Sub-provincial level)",650000,"Xinjiang Uygur Autonomous Region",93.5339,46.11,21.65,32.24,4548,8.8,431240,202533,301566,"Xinjiang",99.4,76.7213744160564,121.91374400147,5927.94385478082
2000,"Kizilsu Kirgiz Autonomous Prefecture",653000,"City (Sub-provincial level)",650000,"Xinjiang Uygur Autonomous Region",7.9632,40.94,17.35,41.71,1832,5.4,32601,13820,33211,"Xinjiang",99.4,76.7213744160564,10.3793761003497,2387.86128890907
2000,"Kashi Prefecture",653100,"City (Sub-provincial level)",650000,"Xinjiang Uygur Autonomous Region",75.4366,54.25,15,30.75,2241,8,409256,113166,231944,"Xinjiang",99.4,76.7213744160564,98.3254022417675,2920.95914216443
2000,"Hotan Prefecture",653200,"City (Sub-provincial level)",650000,"Xinjiang Uygur Autonomous Region",27.128,55.27,13.69,31.03,1659,5.3,149948,37145,84187,"Xinjiang",99.4,76.7213744160564,35.3591162912256,2162.3700209062
2000,"Urumqi(city)",650100,"City (Sub-provincial level)",650000,"Xinjiang Uygur Autonomous Region",279.0547,1.42,36.67,61.91,15426,8.6,39648,1023274,1727625,"Xinjiang",99.4,76.7213744160564,363.724844769724,20106.5219665455
2000,"Karamay(city)",650200,"City (Sub-provincial level)",650000,"Xinjiang Uygur Autonomous Region",138.5871,0.37,84.13,15.5,42498,6.9,5194,1165873,214804,"Xinjiang",99.4,76.7213744160564,180.636883860355,55392.6468646604
2000,"Turpan Prefecture",652100,"City (Sub-provincial level)",650000,"Xinjiang Uygur Autonomous Region",59.84,12.48,66.25,21.27,10912,8.1,74689,396458,127253,"Xinjiang",99.4,76.7213744160564,77.9965172097811,14222.8943147248
2000,"Kumul Prefecture",652200,"City (Sub-provincial level)",650000,"Xinjiang Uygur Autonomous Region",33.8199,19.69,35.84,44.46,6894,8.2,66595,121224,150380,"Xinjiang",99.4,76.7213744160564,44.0814574261877,8985.76185902792
2000,"Changji Hui Autonomous Prefecture",652300,"City (Sub-provincial level)",650000,"Xinjiang Uygur Autonomous Region",119.8195,36.09,34.9,29,7580,9.8,432439,418227,347529,"Xinjiang",99.4,76.7213744160564,156.174861193472,9879.9064246347
2000,"Yili Kazakstan Autonomous Prefecture",654000,"City (Sub-provincial level)",650000,"Xinjiang Uygur Autonomous Region",200.2483,39.19,29.64,33.16,4938,8.4,744773,593620,664090,"Xinjiang",99.4,76.7213744160564,261.007185447517,6436.27677108788
2000,"Ili Prefecture",654100,"City (Sub-provincial level)",650000,"Xinjiang Uygur Autonomous Region",73.8331,41.49,26.62,31.89,3512,8.5,306346,196526,235459,"Xinjiang",99.4,76.7213744160564,96.2353719051051,4577.6030822318
2000,"Liaoyuan(city)",220400,"City (Sub-provincial level)",220000,"Jilin (province)",67.1146,28.4,31.2,40.4,NA,10.8,NA,NA,NA,"Jilin",98.6,80.1006841097363,83.78779875095,NA
2000,"Tonghua(city)",220500,"City (Sub-provincial level)",220000,"Jilin (province)",142.269,21.9,42.1,36,NA,9.7,NA,NA,NA,"Jilin",98.6,80.1006841097363,177.61271527356,NA
