province,province_id,city,city_id,year,agriculture_population,urban_population,total_population
黑龙江省,230000,大兴安岭地区,232700,2001,50724.46666666666,146484.10588235295,532400.5058823529
台湾省,710000,台湾省,710000,2001,3995813.125490196,1.4341929490196079E7,2.23031585254902E7
安徽省,340000,安庆市,340800,2001,2909328.325490196,549651.3098039215,5236882.0156862745
安徽省,340000,蚌埠市,340300,2001,2371705.2274509803,856596.5450980393,3373787.77254902
安徽省,340000,亳州市,341600,2001,4586639.82745098,511730.87450980395,5140828.80392157
安徽省,340000,池州市,341700,2001,577919.1882352942,61066.20392156862,1629992.7411764706
安徽省,340000,滁州市,341100,2001,3749093.074509804,425039.82352941175,4335413.894117646
安徽省,340000,阜阳市,341200,2001,7561753.670588235,710236.1568627451,8529117.698039217
安徽省,340000,合肥市,340100,2001,4112593.588235294,1693623.0,6378331.478431371
安徽省,340000,淮北市,340600,2001,1276103.8313725488,588743.231372549,1910182.2941176472
安徽省,340000,淮南市,340400,2001,2328244.8470588233,945754.0,3526117.0784313725
安徽省,340000,黄山市,341000,2001,410169.0274509804,171169.0,1585260.337254902
安徽省,340000,六安市,341500,2001,3953231.5686274515,394358.29803921573,5473446.294117648
安徽省,340000,马鞍山市,340500,2001,1130022.3176470592,545093.4392156863,2156323.8235294116
安徽省,340000,宿州市,341300,2001,4878821.4627450975,515553.6784313726,5503799.690196079
安徽省,340000,铜陵市,340700,2001,544170.0823529413,317666.4392156863,1724136.223529412
安徽省,340000,芜湖市,340200,2001,1676462.7294117643,788884.1647058823,3796298.411764705
安徽省,340000,宣城市,341800,2001,1364806.211764706,290847.90588235296,2979354.243137255
福建省,350000,福州市,350100,2001,457135.3098039215,3124634.117647059,5982528.5568627445
福建省,350000,龙岩市,350800,2001,325406.54901960783,608960.0,3019871.2313725487
福建省,350000,南平市,350700,2001,307870.0,597785.2862745099,3304171.184313725
福建省,350000,宁德市,350900,2001,219867.33333333334,388248.0,3164924.3176470576
福建省,350000,莆田市,350300,2001,447157.8078431373,1784063.1607843135,2942927.9019607836
福建省,350000,泉州市,350500,2001,714230.0823529412,3620066.1411764706,6508365.278431372
福建省,350000,三明市,350400,2001,215884.53725490198,551857.8823529412,2882802.674509804
福建省,350000,厦门市,350200,2001,49496.89803921567,1008692.0274509804,1318036.6
福建省,350000,漳州市,350600,2001,1223731.780392157,1550159.9333333333,4655004.658823529
甘肃省,620000,白银市,620400,2001,1304700.6627450981,347087.30196078436,1675204.7294117648
甘肃省,620000,定西市,621100,2001,2609963.9137254893,266056.0,2878717.835294117
甘肃省,620000,嘉峪关市,620200,2001,13582.04705882353,74023.0,123155.90588235289
甘肃省,620000,金昌市,620300,2001,255743.18039215682,141069.59607843138,441388.4235294117
甘肃省,620000,酒泉市,620900,2001,459287.83529411757,191997.0,935705.3803921568
甘肃省,620000,兰州市,620100,2001,1118070.3921568627,1806781.4588235293,2932244.333333334
甘肃省,620000,陇南市,621200,2001,1798005.1450980396,127677.0,2682528.670588235
甘肃省,620000,平凉市,620800,2001,1954896.7882352944,160803.12156862745,2139998.6470588236
甘肃省,620000,庆阳市,621000,2001,2331537.498039216,71281.0,2448375.4039215683
甘肃省,620000,天水市,620500,2001,2549257.6941176467,600382.0,3279809.666666666
甘肃省,620000,武威市,620600,2001,1403684.0274509804,243286.45882352942,1849714.4980392153
甘肃省,620000,张掖市,620700,2001,1079410.5372549018,130989.37647058823,1291521.5019607847
广东省,440000,潮州市,445100,2001,303577.9568627451,1275767.4784313727,2330752.0784313716
广东省,440000,东莞市,441900,2001,25276.058823529413,1677470.9921568625,1932901.5568627452
广东省,440000,佛山市,440600,2001,35676.39215686275,2391326.2862745095,3289897.9647058826
广东省,440000,广州市,440100,2001,127699.55294117649,5118072.0235294085,7100198.96470588
广东省,440000,河源市,441600,2001,261314.28235294117,251042.0,2799494.501960784
广东省,440000,惠州市,441300,2001,343300.56470588234,681564.2274509803,2614817.4862745097
广东省,440000,江门市,440700,2001,667562.7725490195,1221613.862745098,3951700.317647059
广东省,440000,揭阳市,445200,2001,534041.462745098,2556801.168627451,4688755.03137255
广东省,440000,茂名市,440900,2001,786456.8196078433,970153.7921568627,5501650.160784313
广东省,440000,梅州市,441400,2001,416741.0549019608,663444.8588235294,4569888.980392157
广东省,440000,清远市,441800,2001,311267.45490196074,411873.5176470588,3677882.8980392157
广东省,440000,汕头市,440500,2001,174071.0392156863,3464557.054901961,4167056.4509803946
广东省,440000,汕尾市,441500,2001,552437.3176470589,727797.4941176471,2431270.8823529407
广东省,440000,韶关市,440200,2001,487085.47843137255,747244.9450980392,3193280.898039216
广东省,440000,深圳市,440300,2001,11449.72549019608,1660382.0862745098,1873638.8627450974
广东省,440000,阳江市,441700,2001,408599.1215686274,394355.62352941174,2429128.7176470594
广东省,440000,云浮市,445300,2001,347488.24705882353,298387.8823529412,2339935.301960785
广东省,440000,湛江市,440800,2001,1961516.6235294119,1347908.5999999999,6078788.980392157
广东省,440000,肇庆市,441200,2001,318864.52549019613,626002.0,3573012.184313725
广东省,440000,中山市,442000,2001,25041.623529411765,860159.5137254902,1421878.6313725496
广东省,440000,珠海市,440400,2001,44994.894117647054,392498.7568627451,770107.6156862741
贵州省,520000,安顺市,520400,2001,1193448.0196078431,246557.0823529412,2405696.6196078435
贵州省,520000,毕节市,520500,2001,3682056.309803922,114909.0,6707124.9843137255
贵州省,520000,贵阳市,520100,2001,471665.6235294118,1106159.2666666666,3379204.803921568
贵州省,520000,六盘水市,520200,2001,396924.368627451,297036.0,2774566.6431372557
贵州省,520000,铜仁市,520600,2001,249368.58039215687,109216.76078431372,3669682.2039215686
贵州省,520000,遵义市,520300,2001,1452703.4,441581.14117647056,6949049.000000002
海南省,460000,儋州市,460400,2001,153764.51764705882,61261.17647058824,775328.3333333337
海南省,460000,海口市,460100,2001,48937.08235294118,484280.4705882353,1107236.9333333327
海南省,460000,三沙市,460300,2001,0.0,0.0,0.0
海南省,460000,三亚市,460200,2001,104756.66274509804,204081.0,419110.1803921568
河北省,130000,保定市,130600,2001,7535361.262745097,3245172.6352941175,1.0805720780392157E7
河北省,130000,沧州市,130900,2001,5660660.5882352935,1066252.7843137255,6766260.4627450975
河北省,130000,承德市,130800,2001,3167496.4235294126,439117.0,3782521.960784314
河北省,130000,邯郸市,130400,2001,5491393.384313726,2855321.7843137262,8478085.317647059
河北省,130000,衡水市,131100,2001,3626836.1568627465,735240.5529411765,4368002.709803922
河北省,130000,廊坊市,131000,2001,3102802.4078431376,700492.6666666666,3803295.0745098046
河北省,130000,秦皇岛市,130300,2001,1875104.5450980393,872542.588235294,2773511.2862745104
河北省,130000,石家庄市,130100,2001,5743241.254901961,3275294.7254901957,9088477.901960785
河北省,130000,唐山市,130200,2001,4489558.380392157,2935558.6039215685,7529297.101960785
河北省,130000,邢台市,130500,2001,5472534.125490197,1232906.160784314,6713626.188235295
河北省,130000,张家口市,130700,2001,3664733.4431372546,1042286.0,4712627.180392156
河南省,410000,安阳市,410500,2001,3684173.6627450986,1561037.4862745097,5355922.2039215695
河南省,410000,鹤壁市,410600,2001,1008127.6784313726,375457.3725490196,1386240.7254901961
河南省,410000,焦作市,410800,2001,1976101.705882353,1126382.4509803923,3170008.0470588235
河南省,410000,开封市,410200,2001,3635073.333333334,1007827.788235294,4688096.662745098
河南省,410000,洛阳市,410300,2001,3999460.4313725494,1774854.8,6464402.196078431
河南省,410000,漯河市,411100,2001,1689462.9647058826,708187.356862745,2428029.321568627
河南省,410000,南阳市,411300,2001,8889651.803921567,1322414.4392156862,1.0976092929411763E7
河南省,410000,平顶山市,410400,2001,3515309.57254902,1195614.5843137256,4884912.588235295
河南省,410000,濮阳市,410900,2001,3097429.5921568633,361707.5411764706,3461433.2666666675
河南省,410000,三门峡市,411200,2001,1156542.9882352941,442857.43137254904,2193841.5372549016
河南省,410000,商丘市,411400,2001,7201437.737254901,735067.0705882353,7961933.333333332
河南省,410000,新乡市,410700,2001,4127818.423529411,1317110.7529411763,5481686.843137255
河南省,410000,信阳市,411500,2001,5977377.647058823,654871.1019607843,7876066.478431371
河南省,410000,许昌市,411000,2001,3612737.709803922,879727.9137254902,4560894.054901961
河南省,410000,郑州市,410100,2001,3468726.4745098036,2494495.274509804,6189897.627450981
河南省,410000,周口市,411600,2001,9188366.254901959,1044778.0352941176,1.0365217290196076E7
河南省,410000,驻马店市,411700,2001,7623831.607843137,726132.3137254902,8397270.062745098
黑龙江省,230000,大庆市,230600,2001,2003376.5529411766,697985.8156862746,2712091.7411764716
黑龙江省,230000,哈尔滨市,230100,2001,5952090.674509805,3931928.0,1.013029254901961E7
黑龙江省,230000,鹤岗市,230400,2001,701568.3686274508,346555.51372549013,1212407.5019607847
黑龙江省,230000,黑河市,231100,2001,1146226.4313725492,386754.49411764706,1752822.156862745
黑龙江省,230000,鸡西市,230300,2001,1201331.945098039,764046.0,2096509.9529411767
黑龙江省,230000,佳木斯市,230800,2001,1712710.4627450975,776807.7647058824,2555047.71372549
黑龙江省,230000,牡丹江市,231000,2001,1432988.682352941,1176791.4588235293,2892230.2627450987
黑龙江省,230000,七台河市,230900,2001,410699.02352941176,446865.0,896156.474509804
黑龙江省,230000,齐齐哈尔市,230200,2001,4619531.71764706,1504068.0823529412,6134190.403921569
黑龙江省,230000,双鸭山市,230500,2001,1040243.5960784314,487439.0,1643126.611764706
黑龙江省,230000,绥化市,231200,2001,4647096.309803922,974039.9843137255,5694331.42745098
黑龙江省,230000,伊春市,230700,2001,405691.3725490196,741692.905882353,1529656.5647058827
湖北省,420000,鄂州市,420700,2001,347496.7882352941,211562.41176470587,990432.7568627449
湖北省,420000,黄冈市,421100,2001,4073642.556862745,506586.96078431373,7301799.129411764
湖北省,420000,黄石市,420200,2001,476721.3098039216,709228.3176470589,2373407.1019607843
湖北省,420000,荆门市,420800,2001,2066441.9098039218,292117.2392156862,3050714.980392157
湖北省,420000,荆州市,421000,2001,4277552.403921568,807647.788235294,6642292.43529412
湖北省,420000,十堰市,420300,2001,610669.8509803922,508563.5882352941,3721508.4862745097
湖北省,420000,随州市,421300,2001,1529536.9607843137,227000.0,2546964.823529412
湖北省,420000,武汉市,420100,2001,1617487.3254901958,4449349.113725491,7862557.466666666
湖北省,420000,咸宁市,421200,2001,803065.6470588236,329268.35294117645,2745907.988235295
湖北省,420000,襄阳市,420600,2001,3205341.0980392154,1118607.0980392157,5798942.54509804
湖北省,420000,孝感市,420900,2001,3895694.2549019614,444048.49411764706,5016581.937254901
湖北省,420000,宜昌市,420500,2001,974532.8470588232,769710.2352941176,4394379.870588236
湖南省,430000,常德市,430700,2001,2867567.5254901955,627876.0,6389470.776470588
湖南省,430000,郴州市,431000,2001,460827.1215686274,383957.0,4751569.325490196
湖南省,430000,衡阳市,430400,2001,1879743.2078431374,735951.6117647059,7240962.08627451
