"Sgnyea","Ctnm_en","Ctnm_id","Cttyp_en","Prvcnm_id","Prvcnm_en","Eect01","Eect02","Eect03","Eect04","Eect05","Eect06","Eect08","Eect09","Eect10","Eect11","Eect12","Eect13"
"1978","Beijing (city)","110000","Municipality","110000","Beijing","849.7000","467.0300","6.8100","","","","","","","","",""
"1978","Tianjin","120000","Municipality","120000","Tianjin (city)","724.2700","358.4500","9.2100","","217.4000","","","","","","",""
"1979","Beijing (city)","110000","Municipality","110000","Beijing","870.6000","495.2100","7.7500","","","","","","","","",""
"1979","Tianjin","120000","Municipality","120000","Tianjin (city)","739.4200","380.5700","8.6300","","230.2400","","","","","","",""
"1980","Beijing (city)","110000","Municipality","110000","Beijing","885.7000","510.4200","9.2600","","","","","","","","",""
"1980","Tianjin","120000","Municipality","120000","Tianjin (city)","748.9100","392.6252","7.2500","","242.6900","","","","","","",""
"1981","Beijing (city)","110000","Municipality","110000","Beijing","900.8000","522.6000","10.9100","","","","","","","","",""
"1981","Tianjin","120000","Municipality","120000","Tianjin (city)","760.3200","400.7500","11.9100","","253.9000","","","","","","",""
"1982","Beijing (city)","110000","Municipality","110000","Beijing","917.8000","534.0100","14.3600","","","","","","","","",""
"1982","Tianjin","120000","Municipality","120000","Tianjin (city)","774.9200","410.7053","14.4100","","260.5300","","","","","","",""
"1983","Beijing (city)","110000","Municipality","110000","Beijing","933.2000","547.1200","10.1400","","","","","","","","",""
"1983","Tianjin","120000","Municipality","120000","Tianjin (city)","785.2800","419.5647","11.7300","","268.2300","","","","","","",""
"1984","Beijing (city)","110000","Municipality","110000","Beijing","945.2000","558.1400","11.2100","","","","","","","","",""
"1984","Tianjin","120000","Municipality","120000","Tianjin (city)","795.5200","437.0900","10.2400","","273.6900","","","","","","",""
"1985","Beijing (city)","110000","Municipality","110000","Beijing","957.9000","572.5000","9.7000","","","","","","","","",""
"1985","Tianjin","120000","Municipality","120000","Tianjin (city)","804.8000","445.6900","8.1500","","276.4800","","","","","","",""
"1986","Beijing (city)","110000","Municipality","110000","Beijing","971.2000","586.8200","11.3500","","","","","","","","",""
"1986","Tianjin","120000","Municipality","120000","Tianjin (city)","814.9700","447.0500","9.2900","","280.2000","","","","","","",""
"1987","Beijing (city)","110000","Municipality","110000","Beijing","988.0000","600.9900","11.8900","","","","","","","","",""
"1987","Tianjin","120000","Municipality","120000","Tianjin (city)","828.7300","454.6800","10.9900","","281.5300","","","","","","",""
"1988","Beijing (city)","110000","Municipality","110000","Beijing","1001.2000","614.2500","9.3500","","","","","","","","",""
"1988","Tianjin","120000","Municipality","120000","Tianjin (city)","839.2100","467.3856","10.2700","","281.3600","","","","","","",""
"1989","Beijing (city)","110000","Municipality","110000","Beijing","1021.1000","630.5800","7.4900","","","","","","","","",""
"1989","Tianjin","120000","Municipality","120000","Tianjin (city)","852.3500","476.6200","9.0100","","284.3800","","","","","","",""
"1990","Qingyang(city)","621000","City (Sub-provincial level)","620000","Gansu (province)","217.5000","","10.7400","","","","","","","","",""
"1990","Linxia Hui Autonomous Prefecture","622900","City (Sub-provincial level)","620000","Gansu (province)","162.4600","","13.2200","","","","","","","","",""
"1990","Dingxi(city)","621100","City (Sub-provincial level)","620000","Gansu (province)","25.7000","","14.9900","","","","","","","","",""
"1990","Gannan Tibetan Autonomous Prefecture","623000","City (Sub-provincial level)","620000","Gansu (province)","58.2400","","16.6700","","","","","","","","",""
"1990","Longnan(city)","621200","City (Sub-provincial level)","620000","Gansu (province)","240.7400","","12.3400","","","","","","","","",""
