"Sgnyea","Prvcnm_id","Prvcnm_en","Pi0101"
"1951","110000","Beijing","116.1700"
"1951","420000","Hubei","121.1000"
"1951","430000","Hunan","105.6000"
"1951","320000","Jiangsu","113.9000"
"1951","310000","Shanghai",""
"1951","350000","Fujian","106.6000"
"1951","610000","Shaanxi","109.8000"
"1951","520000","Guizhou","110.9000"
"1951","220000","Jilin",""
"1951","210000","Liaoning",""
"1951","140000","Shanxi",""
"1951","120000","Tianjin","114.5000"
"1951","360000","Jiangxi",""
"1951","630000","Qinghai",""
"1951","650000","Xinjiang","110.5000"
"1951","130000","Hebei",""
"1951","530000","Yunnan",""
"1951","620000","Gansu","133.9000"
"1951","440000","Guangdong",""
"1951","370000","Shandong","110.8000"
"1952","150000","Inner Mongolia",""
"1952","350000","Fujian","98.0000"
"1952","360000","Jiangxi",""
"1952","140000","Shanxi",""
"1952","320000","Jiangsu","97.5000"
"1952","210000","Liaoning",""
"1952","440000","Guangdong",""
"1952","610000","Shaanxi","105.2000"
"1952","520000","Guizhou","110.0000"
"1952","310000","Shanghai",""
"1952","530000","Yunnan",""
"1952","620000","Gansu","103.0000"
"1952","130000","Hebei",""
"1952","450000","Guangxi",""
"1952","650000","Xinjiang","97.7000"
"1952","370000","Shandong","102.2000"
"1952","420000","Hubei","96.1000"
"1952","630000","Qinghai",""
"1952","220000","Jilin",""
"1952","110000","Beijing","104.1000"
"1952","120000","Tianjin","101.6000"
"1952","510000","Sichuan",""
"1952","430000","Hunan","97.4000"
"1953","220000","Jilin","105.9000"
"1953","120000","Tianjin","107.8000"
"1953","310000","Shanghai","105.8000"
"1953","330000","Zhejiang",""
"1953","370000","Shandong","103.3000"
"1953","110000","Beijing","109.7000"
"1953","530000","Yunnan",""
"1953","650000","Xinjiang","96.5000"
"1953","130000","Hebei",""
"1953","140000","Shanxi",""
"1953","150000","Inner Mongolia",""
"1953","610000","Shaanxi","103.9000"
"1953","620000","Gansu","103.4000"
"1953","320000","Jiangsu","102.6000"
"1953","630000","Qinghai",""
"1953","430000","Hunan","108.5000"
"1953","440000","Guangdong",""
"1953","210000","Liaoning",""
"1953","420000","Hubei","103.5000"
"1953","230000","Heilongjiang","106.0000"
"1953","350000","Fujian","101.9000"
"1953","520000","Guizhou","101.5000"
"1953","360000","Jiangxi",""
"1954","230000","Heilongjiang","101.7000"
"1954","440000","Guangdong",""
"1954","420000","Hubei","101.7000"
"1954","120000","Tianjin","101.7000"
"1954","530000","Yunnan",""
"1954","210000","Liaoning",""
"1954","610000","Shaanxi","100.7000"
"1954","620000","Gansu","95.0000"
"1954","370000","Shandong","103.4000"
"1954","360000","Jiangxi",""
"1954","430000","Hunan","102.5000"
"1954","130000","Hebei",""
"1954","140000","Shanxi",""
"1954","310000","Shanghai","101.9000"
"1954","650000","Xinjiang","104.3000"
"1954","630000","Qinghai",""
"1954","150000","Inner Mongolia",""
"1954","520000","Guizhou","103.5000"
"1954","350000","Fujian","99.9000"
"1954","320000","Jiangsu","101.6000"
"1954","220000","Jilin","103.5000"
"1954","330000","Zhejiang",""
"1954","110000","Beijing","102.9000"
"1955","530000","Yunnan",""
"1955","430000","Hunan","102.5000"
"1955","220000","Jilin","100.5000"
"1955","330000","Zhejiang",""
"1955","350000","Fujian","101.3000"
"1955","440000","Guangdong",""
"1955","620000","Gansu","101.1000"
"1955","370000","Shandong","99.9000"
"1955","110000","Beijing","100.6800"
"1955","360000","Jiangxi",""
"1955","150000","Inner Mongolia",""
"1955","310000","Shanghai","101.4000"
"1955","320000","Jiangsu","101.4000"
"1955","140000","Shanxi",""
"1955","210000","Liaoning",""
"1955","630000","Qinghai",""
"1955","120000","Tianjin","100.0000"
"1955","650000","Xinjiang","98.3000"
"1955","520000","Guizhou","102.5000"
"1955","420000","Hubei","100.2000"
"1955","130000","Hebei",""
"1955","230000","Heilongjiang","101.0000"
"1955","610000","Shaanxi","99.7000"
"1956","350000","Fujian","101.7000"
"1956","220000","Jilin","98.0000"
"1956","610000","Shaanxi","98.2000"
"1956","360000","Jiangxi",""
"1956","530000","Yunnan",""
"1956","620000","Gansu","95.4000"
"1956","430000","Hunan","102.6000"
"1956","650000","Xinjiang","92.1000"
"1956","520000","Guizhou","100.5000"
"1956","110000","Beijing","100.1000"
"1956","230000","Heilongjiang","99.9000"
"1956","120000","Tianjin","99.8000"
"1956","330000","Zhejiang",""
"1956","630000","Qinghai",""
"1956","130000","Hebei",""
"1956","150000","Inner Mongolia",""
"1956","440000","Guangdong",""
"1956","210000","Liaoning",""
"1956","420000","Hubei","99.5000"
"1956","140000","Shanxi",""
"1956","310000","Shanghai","100.4000"
"1956","370000","Shandong","100.7000"
"1956","320000","Jiangsu","101.1000"
"1957","370000","Shandong","101.0000"
"1957","110000","Beijing","100.7000"
"1957","360000","Jiangxi",""
"1957","630000","Qinghai",""
"1957","120000","Tianjin","101.8000"
"1957","330000","Zhejiang",""
"1957","510000","Sichuan",""
"1957","610000","Shaanxi","100.8000"
"1957","420000","Hubei","105.2000"
"1957","220000","Jilin","102.5000"
"1957","140000","Shanxi",""
"1957","130000","Hebei",""
"1957","150000","Inner Mongolia",""
"1957","310000","Shanghai","100.8000"
"1957","440000","Guangdong",""
"1957","450000","Guangxi",""
"1957","650000","Xinjiang","101.4000"
"1957","320000","Jiangsu","102.1000"
"1957","210000","Liaoning",""
"1957","410000","Henan",""
"1957","230000","Heilongjiang","101.9000"
"1957","530000","Yunnan",""
"1957","350000","Fujian","100.5000"
"1957","620000","Gansu","96.6000"
"1957","520000","Guizhou","103.0000"
"1957","430000","Hunan","102.1000"
"1958","220000","Jilin","98.7000"
"1958","610000","Shaanxi","97.3000"
"1958","370000","Shandong","99.6000"
"1958","350000","Fujian","101.1000"
"1958","110000","Beijing","98.8000"
"1958","150000","Inner Mongolia",""
"1958","430000","Hunan","99.4000"
"1958","530000","Yunnan",""
"1958","320000","Jiangsu","100.8000"
"1958","410000","Henan","99.6000"
"1958","420000","Hubei","99.5000"
"1958","130000","Hebei",""
"1958","330000","Zhejiang",""
"1958","620000","Gansu","102.0000"
"1958","230000","Heilongjiang","98.3000"
"1958","120000","Tianjin","98.9000"
"1958","440000","Guangdong",""
"1958","650000","Xinjiang","98.8000"
"1958","140000","Shanxi",""
"1958","640000","Ningxia","102.4000"
"1958","630000","Qinghai",""
"1958","310000","Shanghai","100.0000"
"1958","520000","Guizhou","101.5000"
"1958","210000","Liaoning",""
"1958","360000","Jiangxi",""
"1959","330000","Zhejiang",""
"1959","410000","Henan","100.3000"
"1959","310000","Shanghai","100.2000"
"1959","210000","Liaoning",""
"1959","630000","Qinghai",""
"1959","120000","Tianjin","99.9000"
"1959","230000","Heilongjiang","100.0000"
"1959","440000","Guangdong",""
"1959","640000","Ningxia","102.9000"
"1959","420000","Hubei","101.1000"
"1959","610000","Shaanxi","100.3000"
"1959","520000","Guizhou","101.8000"
"1959","620000","Gansu","101.8000"
"1959","370000","Shandong","100.6000"
"1959","320000","Jiangsu","100.2000"
"1959","360000","Jiangxi",""
"1959","430000","Hunan","100.4000"
"1959","220000","Jilin","99.6000"
"1959","650000","Xinjiang","100.4000"
"1959","130000","Hebei",""
"1959","140000","Shanxi",""
"1959","150000","Inner Mongolia",""
"1959","110000","Beijing","99.5000"
"1959","350000","Fujian","101.4000"
"1959","530000","Yunnan",""
"1960","230000","Heilongjiang","101.0000"
"1960","520000","Guizhou","102.0000"
"1960","630000","Qinghai",""
"1960","220000","Jilin","108.5000"
"1960","620000","Gansu","99.4000"
"1960","110000","Beijing","99.6000"
"1960","420000","Hubei","109.4000"
"1960","430000","Hunan","102.1000"
"1960","130000","Hebei",""
"1960","310000","Shanghai","100.4000"
"1960","330000","Zhejiang",""
"1960","350000","Fujian","100.4000"
"1960","340000","Anhui",""
"1960","320000","Jiangsu","102.3000"
"1960","210000","Liaoning",""
"1960","140000","Shanxi",""
"1960","360000","Jiangxi",""
"1960","410000","Henan","100.8000"
"1960","120000","Tianjin","101.3000"
"1960","530000","Yunnan",""
"1960","640000","Ningxia","104.3000"
"1960","650000","Xinjiang","102.5000"
"1960","370000","Shandong","100.5000"
"1960","150000","Inner Mongolia",""
"1960","440000","Guangdong",""
"1960","610000","Shaanxi","101.5000"
"1961","220000","Jilin","113.4000"
"1961","150000","Inner Mongolia",""
"1961","120000","Tianjin","111.5000"
"1961","330000","Zhejiang",""
"1961","530000","Yunnan",""
"1961","320000","Jiangsu","124.3000"
"1961","130000","Hebei",""
"1961","520000","Guizhou","124.0000"
"1961","430000","Hunan","142.6000"
"1961","340000","Anhui",""
"1961","610000","Shaanxi","122.7000"
"1961","310000","Shanghai","105.1000"
"1961","110000","Beijing","103.6000"
"1961","410000","Henan","118.3000"
"1961","350000","Fujian","121.6000"
"1961","650000","Xinjiang","119.0000"
"1961","360000","Jiangxi",""
"1961","630000","Qinghai",""
"1961","640000","Ningxia","120.2000"
"1961","620000","Gansu","122.6000"
"1961","230000","Heilongjiang","123.7000"
"1961","140000","Shanxi",""
"1961","440000","Guangdong",""
"1961","370000","Shandong","106.3000"
"1961","210000","Liaoning",""
"1961","420000","Hubei","120.6000"
"1962","350000","Fujian","101.8000"
"1962","370000","Shandong","100.5000"
"1962","360000","Jiangxi",""
"1962","410000","Henan","96.4000"
"1962","630000","Qinghai",""
"1962","430000","Hunan","107.5000"
"1962","230000","Heilongjiang","103.9000"
"1962","610000","Shaanxi","95.6000"
"1962","530000","Yunnan",""
"1962","650000","Xinjiang","98.4000"
"1962","220000","Jilin","103.1000"
"1962","310000","Shanghai","99.4000"
"1962","640000","Ningxia","95.1000"
"1962","620000","Gansu","102.4000"
"1962","120000","Tianjin","100.2000"
"1962","450000","Guangxi",""
"1962","520000","Guizhou","100.4000"
"1962","320000","Jiangsu","97.7000"
"1962","110000","Beijing","104.6000"
"1962","420000","Hubei","95.9000"
"1962","130000","Hebei",""
"1962","150000","Inner Mongolia",""
"1962","510000","Sichuan",""
"1962","140000","Shanxi",""
"1962","330000","Zhejiang",""
"1962","340000","Anhui",""
"1962","440000","Guangdong",""
"1962","210000","Liaoning",""
"1963","120000","Tianjin","97.4000"
"1963","210000","Liaoning",""
"1963","430000","Hunan","88.6000"
"1963","310000","Shanghai","98.9000"
"1963","620000","Gansu",""
"1963","140000","Shanxi",""
"1963","320000","Jiangsu","95.6000"
"1963","360000","Jiangxi",""
"1963","220000","Jilin","98.9000"
"1963","330000","Zhejiang",""
"1963","440000","Guangdong",""
"1963","650000","Xinjiang","95.9000"
"1963","520000","Guizhou","98.7000"
"1963","410000","Henan","96.2000"
"1963","420000","Hubei","93.1000"
"1963","230000","Heilongjiang","99.6000"
"1963","610000","Shaanxi","95.7000"
"1963","110000","Beijing","100.2000"
"1963","350000","Fujian","95.9000"
"1963","340000","Anhui",""
"1963","530000","Yunnan",""
"1963","640000","Ningxia","88.9000"
"1963","370000","Shandong","98.7000"
"1963","630000","Qinghai",""
"1963","130000","Hebei",""
"1963","150000","Inner Mongolia",""
"1964","140000","Shanxi",""
"1964","150000","Inner Mongolia",""
"1964","350000","Fujian","95.2000"
"1964","530000","Yunnan",""
"1964","610000","Shaanxi","95.7000"
"1964","410000","Henan","98.5000"
"1964","330000","Zhejiang",""
"1964","110000","Beijing","98.8000"
"1964","340000","Anhui",""
"1964","440000","Guangdong",""
"1964","120000","Tianjin","95.3000"
"1964","320000","Jiangsu","95.7000"
"1964","210000","Liaoning",""
"1964","230000","Heilongjiang","99.3000"
"1964","220000","Jilin","98.4000"
"1964","360000","Jiangxi",""
"1964","420000","Hubei","96.6000"
"1964","630000","Qinghai",""
"1964","650000","Xinjiang","96.1000"
"1964","130000","Hebei",""
"1964","640000","Ningxia","94.9000"
"1964","520000","Guizhou","97.3000"
"1964","620000","Gansu",""
"1964","370000","Shandong","97.8000"
"1964","310000","Shanghai","97.8000"
"1964","430000","Hunan","96.1000"
"1965","310000","Shanghai","100.6000"
"1965","340000","Anhui",""
"1965","450000","Guangxi",""
"1965","530000","Yunnan",""
"1965","610000","Shaanxi","98.2000"
"1965","360000","Jiangxi",""
"1965","140000","Shanxi",""
"1965","440000","Guangdong",""
"1965","210000","Liaoning",""
"1965","630000","Qinghai",""
"1965","220000","Jilin","100.5000"
"1965","150000","Inner Mongolia",""
"1965","120000","Tianjin","96.5000"
"1965","640000","Ningxia","97.7000"
"1965","520000","Guizhou","98.4000"
"1965","110000","Beijing","94.9000"
"1965","420000","Hubei","96.4000"
"1965","430000","Hunan","90.5000"
"1965","330000","Zhejiang",""
"1965","650000","Xinjiang","96.0000"
"1965","370000","Shandong","97.8000"
"1965","620000","Gansu",""
"1965","410000","Henan","97.0000"
"1965","130000","Hebei",""
"1965","230000","Heilongjiang","99.7000"
"1965","350000","Fujian","95.2000"
"1965","510000","Sichuan",""
"1965","320000","Jiangsu","97.1000"
"1966","230000","Heilongjiang","100.3000"
"1966","150000","Inner Mongolia",""
"1966","330000","Zhejiang",""
"1966","110000","Beijing","99.6000"
"1966","410000","Henan","99.5000"
"1966","630000","Qinghai",""
"1966","220000","Jilin","99.2000"
"1966","210000","Liaoning",""
"1966","360000","Jiangxi",""
"1966","420000","Hubei","99.2000"
"1966","340000","Anhui",""
"1966","530000","Yunnan",""
"1966","650000","Xinjiang","97.1000"
"1966","130000","Hebei",""
"1966","310000","Shanghai","96.9000"
"1966","350000","Fujian","100.8000"
"1966","640000","Ningxia","98.2000"
"1966","140000","Shanxi",""
"1966","120000","Tianjin","99.2000"
"1966","430000","Hunan","99.3000"
"1966","440000","Guangdong",""
"1966","610000","Shaanxi","99.9000"
"1966","520000","Guizhou","101.6000"
"1966","370000","Shandong","98.7000"
"1966","320000","Jiangsu","98.1000"
"1967","130000","Hebei",""
"1967","120000","Tianjin","99.4000"
"1967","330000","Zhejiang",""
"1967","210000","Liaoning",""
"1967","420000","Hubei","100.2000"
"1967","140000","Shanxi",""
"1967","370000","Shandong","100.1000"
"1967","230000","Heilongjiang","100.0000"
"1967","640000","Ningxia","102.5000"
"1967","320000","Jiangsu","99.7000"
"1967","150000","Inner Mongolia",""
"1967","360000","Jiangxi",""
"1967","350000","Fujian","100.4000"
"1967","530000","Yunnan",""
"1967","430000","Hunan","100.7000"
"1967","220000","Jilin","100.8000"
"1967","310000","Shanghai","100.9000"
"1967","110000","Beijing","100.0000"
"1967","650000","Xinjiang","99.2000"
"1967","520000","Guizhou","101.7000"
"1967","440000","Guangdong",""
"1967","610000","Shaanxi","99.1000"
"1967","410000","Henan","100.2000"
"1967","630000","Qinghai",""
"1968","130000","Hebei",""
"1968","120000","Tianjin","99.9000"
"1968","530000","Yunnan",""
"1968","650000","Xinjiang","100.0000"
"1968","440000","Guangdong",""
"1968","640000","Ningxia","101.3000"
"1968","110000","Beijing","99.9000"
"1968","420000","Hubei","100.2000"
"1968","140000","Shanxi",""
"1968","610000","Shaanxi","100.3000"
"1968","230000","Heilongjiang","100.0000"
"1968","150000","Inner Mongolia",""
"1968","330000","Zhejiang",""
"1968","410000","Henan","99.9000"
"1968","630000","Qinghai",""
"1968","350000","Fujian","99.8000"
"1968","210000","Liaoning",""
"1968","310000","Shanghai","99.9000"
"1968","520000","Guizhou","100.0000"
"1968","320000","Jiangsu","100.0000"
"1968","430000","Hunan","100.1000"
"1968","220000","Jilin","100.2000"
"1968","370000","Shandong","99.8000"
"1969","330000","Zhejiang",""
"1969","640000","Ningxia","102.5000"
"1969","630000","Qinghai",""
"1969","140000","Shanxi",""
"1969","350000","Fujian","99.8000"
"1969","220000","Jilin","99.3000"
"1969","650000","Xinjiang","99.4000"
"1969","370000","Shandong","99.9000"
"1969","210000","Liaoning",""
"1969","150000","Inner Mongolia",""
"1969","410000","Henan","99.4000"
"1969","230000","Heilongjiang","100.0000"
"1969","610000","Shaanxi","99.7000"
"1969","310000","Shanghai","100.4000"
"1969","440000","Guangdong",""
"1969","320000","Jiangsu","100.0000"
"1969","110000","Beijing","100.3000"
"1969","430000","Hunan","100.4000"
"1969","520000","Guizhou","99.4000"
"1969","420000","Hubei","100.4000"
"1969","130000","Hebei",""
"1969","120000","Tianjin","100.6000"
"1969","530000","Yunnan",""
"1970","150000","Inner Mongolia",""
"1970","310000","Shanghai","99.6000"
"1970","610000","Shaanxi","99.8000"
"1970","210000","Liaoning",""
"1970","410000","Henan","99.0000"
"1970","330000","Zhejiang",""
"1970","510000","Sichuan",""
"1970","530000","Yunnan",""
"1970","320000","Jiangsu","100.0000"
"1970","430000","Hunan","100.7000"
"1970","220000","Jilin","99.2000"
"1970","450000","Guangxi",""
"1970","140000","Shanxi",""
"1970","640000","Ningxia","100.8000"
"1970","130000","Hebei",""
"1970","120000","Tianjin","99.1000"
"1970","110000","Beijing","98.9000"
"1970","520000","Guizhou","100.1000"
"1970","230000","Heilongjiang","100.2000"
"1970","650000","Xinjiang","99.7000"
"1970","370000","Shandong","98.9000"
"1970","420000","Hubei","99.6000"
"1970","350000","Fujian","98.9000"
"1970","440000","Guangdong",""
"1970","630000","Qinghai",""
"1971","230000","Heilongjiang","99.9000"
"1971","220000","Jilin","100.3000"
"1971","150000","Inner Mongolia",""
"1971","120000","Tianjin","99.8000"
"1971","310000","Shanghai","100.0000"
"1971","110000","Beijing","100.2000"
"1971","420000","Hubei","99.7000"
"1971","630000","Qinghai",""
"1971","130000","Hebei",""
"1971","370000","Shandong","99.9000"
"1971","320000","Jiangsu","100.3000"
"1971","650000","Xinjiang","99.9000"
"1971","360000","Jiangxi",""
"1971","430000","Hunan","99.0000"
"1971","140000","Shanxi",""
"1971","330000","Zhejiang",""
"1971","210000","Liaoning",""
"1971","410000","Henan","99.5000"
"1971","610000","Shaanxi","101.0000"
"1971","350000","Fujian","100.7000"
"1971","340000","Anhui",""
"1971","440000","Guangdong",""
"1971","530000","Yunnan",""
"1971","640000","Ningxia","99.8000"
"1971","520000","Guizhou","99.8000"
"1972","120000","Tianjin","100.0000"
"1972","330000","Zhejiang",""
"1972","530000","Yunnan",""
"1972","520000","Guizhou","99.5000"
"1972","340000","Anhui",""
"1972","650000","Xinjiang","100.3000"
"1972","230000","Heilongjiang","101.1000"
"1972","220000","Jilin","100.3000"
"1972","310000","Shanghai","99.9000"
"1972","620000","Gansu",""
"1972","370000","Shandong","100.0000"
"1972","150000","Inner Mongolia",""
"1972","210000","Liaoning",""
"1972","110000","Beijing","100.2000"
"1972","360000","Jiangxi",""
"1972","420000","Hubei","99.6000"
"1972","130000","Hebei",""
"1972","320000","Jiangsu","100.2000"
"1972","630000","Qinghai",""
"1972","350000","Fujian","99.7000"
"1972","640000","Ningxia","100.4000"
"1972","610000","Shaanxi","100.8000"
"1972","410000","Henan","99.7000"
"1972","140000","Shanxi",""
"1972","440000","Guangdong",""
"1972","430000","Hunan","100.9000"
"1973","530000","Yunnan",""
"1973","520000","Guizhou","100.2000"
"1973","620000","Gansu","100.3000"
"1973","360000","Jiangxi",""
"1973","410000","Henan","100.0000"
"1973","420000","Hubei","100.3000"
"1973","430000","Hunan","99.6000"
"1973","130000","Hebei",""
"1973","230000","Heilongjiang","100.3000"
"1973","610000","Shaanxi","101.2000"
"1973","650000","Xinjiang","99.9000"
"1973","210000","Liaoning",""
"1973","630000","Qinghai",""
"1973","340000","Anhui",""
"1973","640000","Ningxia","100.3000"
"1973","140000","Shanxi",""
"1973","120000","Tianjin","100.4000"
"1973","310000","Shanghai","100.2000"
"1973","350000","Fujian","100.1000"
"1973","440000","Guangdong",""
"1973","320000","Jiangsu","100.1000"
"1973","110000","Beijing","100.2000"
"1973","220000","Jilin","100.3000"
"1973","150000","Inner Mongolia",""
"1973","330000","Zhejiang",""
"1973","370000","Shandong","99.8000"
"1974","110000","Beijing","99.9000"
"1974","430000","Hunan","99.9000"
"1974","220000","Jilin","100.1000"
"1974","530000","Yunnan",""
"1974","620000","Gansu","100.0000"
"1974","360000","Jiangxi",""
"1974","310000","Shanghai","99.8000"
"1974","340000","Anhui",""
"1974","650000","Xinjiang","100.5000"
"1974","410000","Henan","100.1000"
"1974","210000","Liaoning",""
"1974","120000","Tianjin","99.7000"
"1974","330000","Zhejiang",""
"1974","230000","Heilongjiang","100.5000"
"1974","640000","Ningxia","100.4000"
"1974","520000","Guizhou","100.3000"
"1974","150000","Inner Mongolia",""
"1974","350000","Fujian","99.9000"
"1974","370000","Shandong","99.9000"
"1974","630000","Qinghai",""
"1974","130000","Hebei",""
"1974","140000","Shanxi",""
"1974","440000","Guangdong",""
"1974","610000","Shaanxi","100.9000"
"1974","320000","Jiangsu","100.3000"
"1974","420000","Hubei","99.9000"
"1975","350000","Fujian","100.1000"
"1975","510000","Sichuan",""
"1975","310000","Shanghai","100.1000"
"1975","340000","Anhui",""
"1975","530000","Yunnan",""
"1975","110000","Beijing","100.0000"
"1975","210000","Liaoning",""
"1975","360000","Jiangxi",""
"1975","150000","Inner Mongolia",""
"1975","410000","Henan","100.1000"
"1975","220000","Jilin","100.1000"
"1975","140000","Shanxi",""
"1975","330000","Zhejiang",""
"1975","440000","Guangdong",""
"1975","370000","Shandong","100.2000"
"1975","320000","Jiangsu","100.3000"
"1975","130000","Hebei",""
"1975","640000","Ningxia","100.6000"
"1975","650000","Xinjiang","100.2000"
"1975","520000","Guizhou","100.1000"
"1975","620000","Gansu","99.8000"
"1975","430000","Hunan","100.2000"
"1975","230000","Heilongjiang","100.1000"
"1975","120000","Tianjin","100.1000"
"1975","450000","Guangxi",""
"1975","420000","Hubei","99.9000"
"1975","610000","Shaanxi","100.6000"
"1975","630000","Qinghai",""
"1976","610000","Shaanxi","101.1000"
"1976","110000","Beijing","99.7000"
"1976","410000","Henan","100.2000"
"1976","420000","Hubei","100.0000"
"1976","430000","Hunan","99.8000"
"1976","650000","Xinjiang","99.7000"
"1976","120000","Tianjin","100.0000"
"1976","340000","Anhui",""
"1976","440000","Guangdong",""
"1976","130000","Hebei",""
"1976","220000","Jilin","100.7000"
"1976","310000","Shanghai","99.4000"
"1976","530000","Yunnan",""
"1976","230000","Heilongjiang","100.8000"
"1976","140000","Shanxi",""
"1976","350000","Fujian","100.3000"
"1976","520000","Guizhou","101.4000"
"1976","370000","Shandong","100.2000"
"1976","630000","Qinghai",""
"1976","150000","Inner Mongolia",""
"1976","330000","Zhejiang",""
"1976","620000","Gansu","100.0000"
"1976","210000","Liaoning",""
"1976","640000","Ningxia","100.9000"
"1976","320000","Jiangsu","100.0000"
"1976","360000","Jiangxi",""
"1977","350000","Fujian","100.1000"
"1977","220000","Jilin","100.2000"
"1977","150000","Inner Mongolia",""
"1977","310000","Shanghai","100.3000"
"1977","330000","Zhejiang",""
"1977","520000","Guizhou","101.0000"
"1977","620000","Gansu",""
"1977","210000","Liaoning",""
"1977","630000","Qinghai",""
"1977","340000","Anhui",""
"1977","440000","Guangdong",""
"1977","110000","Beijing","99.9000"
"1977","410000","Henan","99.9000"
"1977","430000","Hunan","99.4000"
"1977","640000","Ningxia","108.2000"
"1977","650000","Xinjiang","99.9000"
"1977","370000","Shandong","99.8000"
"1977","140000","Shanxi",""
"1977","530000","Yunnan",""
"1977","320000","Jiangsu","100.1000"
"1977","420000","Hubei","100.1000"
"1977","130000","Hebei",""
"1977","230000","Heilongjiang","100.8000"
"1977","120000","Tianjin","100.3000"
"1977","610000","Shaanxi","100.4000"
"1977","360000","Jiangxi",""
"1978","150000","Inner Mongolia",""
"1978","310000","Shanghai","100.5000"
"1978","350000","Fujian","100.2000"
"1978","440000","Guangdong",""
"1978","320000","Jiangsu","100.1000"
"1978","140000","Shanxi",""
"1978","510000","Sichuan",""
"1978","110000","Beijing","100.6000"
"1978","130000","Hebei",""
"1978","330000","Zhejiang",""
"1978","640000","Ningxia","100.6000"
"1978","370000","Shandong","100.3000"
"1978","630000","Qinghai",""
"1978","120000","Tianjin","100.0000"
"1978","210000","Liaoning",""
"1978","220000","Jilin","100.1000"
"1978","530000","Yunnan","100.2000"
"1978","650000","Xinjiang","101.2000"
"1978","520000","Guizhou","101.4000"
"1978","360000","Jiangxi",""
"1978","340000","Anhui",""
"1978","450000","Guangxi","100.0000"
"1978","610000","Shaanxi","100.6000"
"1978","420000","Hubei","100.3000"
"1978","430000","Hunan","99.4000"
"1978","230000","Heilongjiang","100.5000"
"1978","620000","Gansu","100.6000"
"1978","410000","Henan","100.1000"
"1979","150000","Inner Mongolia",""
"1979","440000","Guangdong",""
"1979","370000","Shandong","100.7000"
"1979","210000","Liaoning",""
"1979","360000","Jiangxi",""
"1979","630000","Qinghai",""
"1979","310000","Shanghai","100.9000"
"1979","350000","Fujian","102.8000"
"1979","520000","Guizhou","102.6000"
"1979","620000","Gansu","101.1000"
"1979","420000","Hubei","102.6000"
"1979","230000","Heilongjiang","102.5000"
"1979","530000","Yunnan","101.1000"
"1979","640000","Ningxia","101.6000"
"1979","610000","Shaanxi","101.7000"
"1979","320000","Jiangsu","101.0000"
"1979","110000","Beijing","101.8000"
"1979","410000","Henan","100.4000"
