province,city,id,year,urban_sol,agriculture_sol,total_sol
Guangdong Sheng,Zhanjiang,13035,2001,4311.004581358386,206.76298702791627,4805.238933776406
Guangxi Zhuangzu Zizhiqu,Beihai,13053,2001,1057.6296813707725,154.5121600071589,1464.808999490738
Guangxi Zhuangzu Zizhiqu,Fangchenggang,13054,2001,264.9549761388816,0.0,278.0113050348619
Guangxi Zhuangzu Zizhiqu,Chongzuo,13058,2001,570.7530178757274,79.61821830272675,862.7925417605568
Hainan Sheng,Hainan,13072,2001,2092.8286313688054,672.6956165771858,4019.591214889171
Hainan Sheng,Haikou,13073,2001,5046.8781464357,55.72631478309631,5678.912782869619
Hainan Sheng,Sanya,13074,2001,1588.5258893017674,267.5904657929551,2160.6332523747988
Yunnan Sheng,Pu'er,13310,2001,799.0897954702377,125.79114377498627,1305.9875645936704
Yunnan Sheng,Xishuangbanna Dai,13311,2001,362.94241857528687,156.78613996505737,1046.1896579265594
Anhui Sheng,Hefei,12984,2001,7514.15849742422,43.03046679496765,7576.108298034762
Anhui Sheng,Wuhu,12985,2001,3166.2435294179354,48.23322415351868,3242.0449693081428
Anhui Sheng,Bengbu,12986,2001,969.4026493338978,28.234013386801177,1005.9961485853382
Anhui Sheng,Huainan,12987,2001,1138.4214503582784,16.09055519104004,1156.7339087542364
Anhui Sheng,Ma'anshan,12988,2001,2922.464064717293,15.923600196838379,2962.6368384361267
Anhui Sheng,Huaibei,12989,2001,1574.729091456357,114.17578812253241,1715.5071222870959
Anhui Sheng,Tongling,12990,2001,754.8710116147995,16.09890866279602,792.2179864645004
Anhui Sheng,Anqing,12991,2001,1565.155984896772,20.778662085533142,1656.2938634246002
Anhui Sheng,Huangshan,12992,2001,665.9221060276031,31.9869886636734,746.0182482864343
Anhui Sheng,Chuzhou,12993,2001,924.3139074428409,66.79600863830716,996.8783202073154
Anhui Sheng,Suzhou,12995,2001,1083.8794609495237,12.974066277111278,1096.853527226635
Anhui Sheng,Lu'an,12996,2001,697.1297850370406,27.902377009391785,766.1458452701568
Anhui Sheng,Xuancheng,12997,2001,427.3274359703064,48.986900806427,492.936444401741
Anhui Sheng,Chaohu,12998,2001,864.4129369324328,56.17784070968628,1054.4206827402113
Anhui Sheng,Chizhou,12999,2001,355.3284592810799,3.576926350593567,381.01497360538036
Fujian Sheng,Fuzhou,13005,2001,10802.443851256838,112.59572052955627,11995.833185157588
Fujian Sheng,Xiamen,13006,2001,17909.654009018224,210.93575798810696,20184.85780755305
